date,site_id,region,behavior,cement_type,planned_pour_tonnes,consumed_tonnes,opening_inventory_tonnes,deliveries_tonnes,closing_inventory_tonnes,rain_mm,avg_temp_c,silo_capacity,capacity_violation,opening_overflow_tonnes,closing_overflow_tonnes
2022-01-14,SITE_002,South,conservative,CEM_III,14.99,14.99,271.54,35.57,292.12,8.51,9.85,288,True,0.0,4.1200000000000045
2022-01-15,SITE_002,South,conservative,CEM_I,11.11,11.11,292.12,19.07,300.08,2.06,13.29,288,True,4.1200000000000045,12.079999999999984
2022-01-16,SITE_002,South,conservative,CEM_II,18.42,18.42,300.08,26.42,308.08,4.61,16.74,288,True,12.079999999999984,20.079999999999984
2022-01-17,SITE_002,South,conservative,CEM_II,11.46,11.46,308.08,27.52,324.14,11.44,14.27,288,True,20.079999999999984,36.139999999999986
2022-01-18,SITE_002,South,conservative,CEM_II,8.59,8.59,324.14,20.05,335.6,2.63,16.19,288,True,36.139999999999986,47.60000000000002
2022-01-19,SITE_002,South,conservative,CEM_II,10.39,10.39,335.6,25.52,350.73,1.93,10.99,288,True,47.60000000000002,62.73000000000002
2022-01-20,SITE_002,South,conservative,CEM_I,16.35,16.35,350.73,39.78,374.16,7.95,9.52,288,True,62.73000000000002,86.16000000000003
2022-01-21,SITE_002,South,conservative,CEM_II,0.0,0.0,374.16,43.23,417.39,0.82,11.56,288,True,86.16000000000003,129.39
2022-01-22,SITE_002,South,conservative,CEM_I,8.8,8.8,417.39,31.1,439.69,4.24,9.19,288,True,129.39,151.69
2022-01-23,SITE_002,South,conservative,CEM_III,12.76,12.76,439.69,26.04,452.97,5.33,16.27,288,True,151.69,164.97000000000003
2022-01-24,SITE_002,South,conservative,CEM_I,13.15,13.15,452.97,41.61,481.43,1.76,11.97,288,True,164.97000000000003,193.43
2022-01-25,SITE_002,South,conservative,CEM_II,16.11,16.11,481.43,24.22,489.54,1.23,19.15,288,True,193.43,201.54000000000002
2022-01-26,SITE_002,South,conservative,CEM_II,0.0,0.0,489.54,10.16,499.7,8.27,17.17,288,True,201.54000000000002,211.7
2022-01-27,SITE_002,South,conservative,CEM_I,18.95,18.95,499.7,36.46,517.21,1.29,19.78,288,True,211.7,229.21000000000004
2022-01-28,SITE_002,South,conservative,CEM_I,8.48,8.48,517.21,42.95,551.68,11.68,13.03,288,True,229.21000000000004,263.67999999999995
2022-01-29,SITE_002,South,conservative,CEM_II,8.65,8.65,551.68,33.65,576.68,9.73,10.53,288,True,263.67999999999995,288.67999999999995
2022-01-30,SITE_002,South,conservative,CEM_III,17.41,17.41,576.68,33.84,593.11,10.89,13.94,288,True,288.67999999999995,305.11
2022-01-31,SITE_002,South,conservative,CEM_I,17.87,17.87,593.11,10.16,585.4,0.47,11.65,288,True,305.11,297.4
2022-02-01,SITE_002,South,conservative,CEM_II,10.17,10.17,585.4,32.53,607.76,0.06,13.79,288,True,297.4,319.76
2022-02-02,SITE_002,South,conservative,CEM_I,17.8,17.8,607.76,45.29,635.25,14.39,16.11,288,True,319.76,347.25
2022-02-03,SITE_002,South,conservative,CEM_III,19.89,19.89,635.25,21.5,636.86,2.84,10.55,288,True,347.25,348.86
2022-02-04,SITE_002,South,conservative,CEM_III,19.44,19.44,636.86,17.1,634.52,4.08,12.83,288,True,348.86,346.52
2022-02-05,SITE_002,South,conservative,CEM_I,9.3,9.3,634.52,16.39,641.61,12.34,14.39,288,True,346.52,353.61
2022-02-06,SITE_002,South,conservative,CEM_I,13.4,13.4,641.61,34.43,662.64,0.9,20.37,288,True,353.61,374.64
2022-02-07,SITE_002,South,conservative,CEM_I,18.05,18.05,662.64,16.59,661.18,1.53,12.6,288,True,374.64,373.17999999999995
